STT,Từ vựng gốc,Từ loại,Phiên âm,Ý nghĩa,Câu ví dụ,Dịch câu ví dụ
76,唱片,Danh từ,chàngpiàn,"đĩa hát, đĩa nhạc, vinyl",爷爷的书房里整齐地存放着许多张上个世纪的非常经典的老唱片老唱片。,Thư phòng ông nội lưu giữ nhiều đĩa nhạc cổ điển thế kỷ trước.
77,抄,Động từ,chāo,"chép, sao chép, phạt",请大家把黑板上写着的这几个汉语重点语法句型快速抄到笔记本里。,Mời mọi người chép nhanh mấy mẫu ngữ pháp trọng điểm trên bảng vào vở.
78,抄写,Động từ,chāoxiě,"chép lại, sao chép bằng tay",为了牢牢记住汉语汉字，我每天晚上都坚持抄写课文里的生词生词。,"Để nhớ kỹ chữ Hán, tối nào tôi cũng kiên trì chép từ mới bài học."
79,潮,Danh từ / Tính từ,cháo,"thủy triều, ẩm ướt, sành điệu",这件运动外套的设计风格非常潮，在年轻的留学生群体里超级受欢迎。,"Kiểu dáng chiếc áo khoác này rất sành điệu, rất hot trong du học sinh."
80,潮流,Danh từ,cháoliú,"trào lưu, xu hướng thời đại",随着智能手机的普及，使用社交媒体进行汉语学习已经成为了新的潮流。,Điện thoại phổ biến giúp việc học tiếng Trung qua mạng thành trào lưu.
81,潮湿,Tính từ,cháoshī,"ẩm ướt, ẩm thấp",梅雨季节里的天气总是阴雨绵绵，房间里的空气感觉非常潮湿难受。,"Mùa mưa trời cứ âm u suốt, không khí trong phòng ẩm ướt khó chịu."
82,彻底,Tính từ / Phó từ,chèdǐ,"triệt để, hoàn toàn",通过这一段时间的治疗，他的感冒已经彻底好转了，精神非常饱满饱满。,"Qua thời gian điều trị, bệnh cảm của cậu ấy đã khỏi hẳn, rất khỏe."
83,沉,Động từ / Tính từ,chén,"chìm, nặng, trầm",把这块小石头扔进平静的水池里，它会立刻快速沉到清凉的水底去。,"Ném hòn đá nhỏ xuống ao nước yên tĩnh, nó sẽ chìm ngay xuống đáy."
84,沉默,Tính từ / Động từ,chénmò,"trầm mặc, im lặng, im hơi lặng tiếng",面对李老师关于谁弄坏了电脑设备的提问，教室里一片非常安静的沉默。,"Trước câu hỏi ai làm hỏng máy của cô Lý, cả lớp im lặng phăng phắc."
85,沉重,Tính từ,chénzhòng,"nặng nề, trầm trọng, nặng trĩu",听到那个非常不幸的坏消息后，他迈着沉重的脚步回到了自己的房间。,"Nghe tin buồn không may, cậu ấy bước những bước nặng trĩu về phòng."
86,称赞,Động từ,chēngzàn,"khen ngợi, tán dương, khen",李华在学校运动会上的拼搏表现受到了全班同学和班主任的一致称赞。,Nỗ lực của Lý Hoa ở hội thao được cả lớp và giáo viên khen ngợi.
87,成人,Danh từ,chéngrén,"người lớn, người trưởng thành",这家商场的一楼专门设立了一个摆放各类成人成人运动外套的服装区。,Tầng 1 thương xá có khu quần áo bày toàn khoác thể thao người lớn.
88,诚实,Tính từ,chéngshí,"trung thực, thành thực",诚实是人际交往中非常宝贵的品质，我们千万不能对李老师撒谎撒谎。,"Trung thực là phẩm chất quý giá, ta tuyệt đối đừng nói dối cô Lý."
89,诚信,Tính từ / Danh từ,chéngxìn,"uy tín, chân thành đáng tin",做生意必须要讲究诚信，只有这样商家的生意才能做长久红火。,"Làm ăn phải lấy chữ tín làm đầu, như vậy kinh doanh mới bền vững."
90,承担,Động từ,chéngdān,"gánh vác, đảm nhận, chịu (trách nhiệm)",作为这个汉语学习小组的组长，李华要承担起大部分核心的协调任务。,"Là trưởng nhóm học tiếng Trung, Lý Hoa gánh vác phần lớn việc kết nối."
91,承认,Động từ,chéngrèn,thừa nhận,做错了事情就要勇敢去承认和道歉，不要试图用谎言来掩盖错误。,"Làm sai thì dũng cảm thừa nhận xin lỗi, đừng dùng lời dối che đậy."
92,承受,Động từ,chéngshòu,"chịu đựng, gánh chịu (áp lực/nỗi đau)",在备考HSK四级的这段时间里，他承受了来自家长和学校的很多压力。,"Trong lúc ôn HSK 4, cậu ấy chịu nhiều áp lực từ gia đình và trường."
93,程序,Danh từ,chéngxù,"quy trình, chương trình (máy tính), trình tự",我们需要按照规定的流程程序去办理去中国北京留学的签证手续。,Chúng ta cần làm thủ tục xin visa đi du học Bắc Kinh theo đúng quy trình.
94,吃惊,Động từ,chī//jīng,"kinh ngạc, ngạc nhiên, giật mình",听说那个平时汉语说得极好的同学这次考试居然不及格，大家都吃惊了。,"Nghe tin bạn học giỏi tiếng Trung lại trượt thi, mọi người đều ngạc nhiên."
95,迟到,Động từ,chídào,"đến muộn, trễ, đi trễ",因为今天早上的公共汽车晚点了十五分钟，他上汉语课迟到了五分钟。,"Vì xe buýt sáng nay muộn 15 phút, cậu ấy đi học muộn 5 phút."
96,尺,Danh từ / Lượng từ,chǐ,"thước kẻ, thước (đơn vị đo chiều dài cổ Trung Quốc)",这张老式木头桌子的长度大概有三尺左右，看起来非常结实耐用。,"Chiếc bàn gỗ cổ này dài tầm 3 thước, trông rất chắc chắn bền."
97,尺寸,Danh từ,chǐcun,"kích thước, cỡ",买衣服以前一定要记得仔细核对一下尺寸表，不然穿起来不合适。,"Trước khi mua quần áo nhớ check bảng size, nếu không mặc không vừa."
98,尺子,Danh từ,chǐzi,cái thước kẻ,请借给我用一下你的塑料尺子，我要在汉语笔记本上画几条红直线。,Cho tớ mượn chiếc thước kẻ nhựa để kẻ vài đường thẳng đỏ vào vở.
99,冲,Động từ,chōng,"dội, rửa, xông lên, pha (trà/cà phê)",每天早晨起床后，爸爸都习惯冲一杯香气宜人的热浓咖啡来提神。,"Mỗi sáng thức dậy, bố đều quen pha một cốc cà phê nóng đậm đà cho tỉnh."
100,充电,Động từ,chōng//diàn,"sạc điện, nạp điện, nạp năng lượng",我的智能手机显示只剩下百分之五的电量了，必须立刻去充电了。,"Smartphone của tôi hiển thị chỉ còn 5% pin, phải đi sạc ngay lập tức."
101,充电器,Danh từ,chōngdiànqì,"bộ sạc, sạc pin",我今天早上出门太急，不小心把手机充电器忘在宿舍书桌上了。,"Sáng nay tôi ra ngoài vội quá, quên mất bộ sạc điện thoại trên bàn."
102,充分,Tính từ,chōngfèn,"đầy đủ, dồi dào",为了顺利通过明天的汉语口语测试，大家今晚一定要做充分的准备。,"Để đỗ bài kiểm tra nói tiếng Trung ngày mai, tối nay phải chuẩn bị đầy đủ."
103,虫子,Danh từ,chóngzi,"con sâu, côn trùng, sâu bọ",大树底下那一层绿油油的草丛里生存着各种奇妙的彩色小虫子。,Trong bãi cỏ xanh dưới gốc cây có nhiều loại sâu nhỏ màu sắc kỳ diệu.
104,抽,Động từ,chōu,"rút ra, lấy ra, hút (thuốc)",请帮我从书架上面抽出一本红色的汉语字典，我要查一个生词。,Giúp tôi rút cuốn từ điển tiếng Trung màu đỏ trên kệ để tra từ mới.
105,抽奖,Động từ,chōujiǎng,"bốc thăm trúng thưởng, rút thăm",商场今天举办开业十周年的抽奖活动，吸引了很多人排长队参与。,Siêu thị hôm nay tổ chức bốc thăm kỷ niệm 10 năm hút nhiều người xếp hàng.
106,抽烟,Động từ,chōuyán,hút thuốc,多功能多媒体多媒体多媒体教室里是绝对禁止抽烟的，要注意安全。,"Trong phòng học đa phương tiện tuyệt đối cấm hút thuốc, chú ý an toàn."
107,出口,Danh từ / Động từ,chūkǒu,"lối ra, cửa xuất, xuất khẩu",请问李老师，这个新建的语言实验室的紧急出口具体在什么位置？,"Cô Lý ơi, cho em hỏi cửa thoát hiểm phòng lab mới này nằm ở đâu?"
108,出色,Tính từ,chūsè,"xuất sắc, nổi bật, vượt trội",他在今天下午的汉语口语辩论比赛中表现出色，获得了第一名。,"Cậu ấy thể hiện xuất sắc ở cuộc biện luận chiều nay, giành giải nhất."
109,出售,Động từ,chūshòu,"bán, bán ra",学校旁边的那个小书店目前正在打折出售一些汉语学习参考书。,Tiệm sách nhỏ cạnh trường đang giảm giá bán sách tham khảo tiếng Trung.
110,出席,Động từ,chūxí,"dự, có mặt, tham dự (hội nghị/lễ)",李教授今天下午将要代表我们中文系出席学校的主题学术会议。,Giáo sư Lý chiều nay đại diện khoa Trung tham dự hội nghị khoa học.
111,处于,Động từ,chǔyú,"ở vào, nằm trong (trạng thái/hoàn cảnh)",我们公司目前正处于快速发展和开拓新市场的核心关键阶段。,Công ty chúng tôi hiện ở vào giai đoạn cốt lõi phát triển nhanh.
112,处,Danh từ,chù,"nơi, chỗ, địa điểm",在学校里遇到任何生活困难，都可以去留学生管理处寻求帮助。,Gặp khó khăn gì ở trường cứ đến văn phòng quản lý du học sinh giúp.
113,穿上,Động từ,chuānshang,"mặc vào, xỏ vào (quần áo/giày)",外面风大天气冷，你出门以前赶紧把那件厚厚的羽绒服穿上吧。,"Bên ngoài gió lạnh lắm, trước khi ra ngoài mau mặc chiếc áo phao dày vào."
114,传统,Danh từ / Tính từ,chuántǒng,truyền thống,剪纸是中国一门非常具有代表性、历史悠久的传统民间艺术。,Cắt giấy là nghệ thuật dân gian truyền thống lâu đời tiêu biểu của Trung Quốc.
115,窗户,Danh từ,chuānghu,cửa sổ,今天上午外面阳光明媚，请把房间的窗户都打开透透新鲜空气吧。,"Sáng nay trời nắng đẹp, hãy mở hết cửa sổ phòng cho thoáng khí."
116,窗台,Danh từ,chuāngtái,"bậu cửa sổ, thềm cửa sổ",我房间的白色窗台上摆放着两小盆绿油油、生命力旺盛的绿植。,Trên bậu cửa sổ trắng phòng tôi đặt hai chậu cây xanh nhỏ rất tươi.
117,窗子,Danh từ,chuāngzi,cửa sổ,昨天晚上半夜突然刮起了大风，把客厅里的窗子吹得啪啪作响。,Nửa đêm qua bỗng gió to thổi cửa sổ phòng khách kêu bành bành.
118,春季,Danh từ,chūnjì,mùa xuân,每到春季，学校公园里的各色樱花都会盛开，景色非常美丽迷人。,"Mỗi độ xuân về, hoa anh đào trong công viên trường nở rực rỡ."
119,纯,Tính từ,chún,"thuần khiết, nguyên chất, thuần túy",这件白色的运动上衣是用百分之百的纯棉材料制作的，穿起来舒服。,Chiếc áo thể thao trắng này làm bằng 100% cotton nguyên chất mặc rất thích.
120,纯净水,Danh từ,chúnjìngshuǐ,nước tinh khiết,去操场慢跑跑步以前，别忘了去超市买一瓶新鲜的纯净水带上。,"Trước khi đi chạy bộ trên sân, nhớ mua một chai nước tinh khiết mang đi."
121,词汇,Danh từ,cíhuì,"từ vựng, lượng từ vựng",为了快速扩大汉语词汇量，我坚持每天早上背诵十个生词拼音。,"Để mở rộng từ vựng tiếng Trung, tôi kiên trì học 10 từ mới mỗi sáng."
